name,genre_list
Toy Story,Adventure
Toy Story,Animation
Toy Story,Children
Toy Story,Comedy
Toy Story,Fantasy
Jumanji,Adventure
Jumanji,Children
Jumanji,Fantasy
Grumpier Old Men,Comedy
Grumpier Old Men,Romance
Waiting to Exhale,Comedy
Waiting to Exhale,Drama
Waiting to Exhale,Romance
Father of the Bride Part II,Comedy
Heat,Action
Heat,Crime
Heat,Thriller
Sabrina,Comedy
Sabrina,Romance
Tom and Huck,Adventure
Tom and Huck,Children
Sudden Death,Action
GoldenEye,Action
GoldenEye,Adventure
GoldenEye,Thriller
"American President, The",Comedy
"American President, The",Drama
"American President, The",Romance
Dracula: Dead and Loving It,Comedy
Dracula: Dead and Loving It,Horror
Balto,Adventure
Balto,Animation
Balto,Children
Nixon,Drama
Cutthroat Island,Action
Cutthroat Island,Adventure
Cutthroat Island,Romance
Casino,Crime
Casino,Drama
Sense and Sensibility,Drama
Sense and Sensibility,Romance
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Comedy
Money Train,Action
Money Train,Comedy
Money Train,Crime
Money Train,Drama
Money Train,Thriller
Get Shorty,Comedy
Get Shorty,Crime
